RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
"Lakeland, FL",Msa,FL,194222,195737,197403,198769,199027,199716,200146,201871,204177,207238,209350,210873
"Ogden, UT",Msa,UT,331099,333817,337072,340040,342440,344332,346870,350549,355796,361710,367202,374645
"Daytona Beach, FL",Msa,FL,224615,225935,226801,227802,228199,229271,229624,230418,231751,233988,236662,239327
"Des Moines, IA",Msa,IA,208808,209093,209532,209778,210565,211350,212663,213809,214971,216008,217573,218511
"Jackson, MS",Msa,MS,141448,142101,142347,142301,142148,142222,142546,143242,144220,145708,147357,149236
"Youngstown, OH",Msa,OH,100343,100283,100267,100543,101427,102438,103409,105039,106774,108922,110501,112377
"Augusta, GA",Msa,GA,157281,157860,158812,159991,161466,162689,163998,165362,166790,168343,169997,171822
"Scranton, PA",Msa,PA,121157,121281,121775,122478,123352,124019,124220,124820,126131,128438,131286,133580
"Harrisburg, PA",Msa,PA,193867,194851,195796,196592,197470,198398,199384,200420,201847,203668,205821,207992
"Melbourne, FL",Msa,FL,227141,228928,230920,232035,232264,232791,233576,236398,239026,241601,243790,245785
"Chattanooga, TN",Msa,TN,180670,181466,182527,183637,184998,186247,187537,188932,190338,192114,,199365
"Spokane, WA",Msa,WA,279372,284680,290495,293761,295475,294666,294383,296820,301627,307247,313900,320669
"Provo, UT",Msa,UT,373392,376342,379755,381964,383167,384870,387636,392187,397840,404420,410644,418584
"Lancaster, PA",Msa,PA,234507,234899,236625,237957,239069,239962,241208,243163,245292,248305,252153,256263
"Modesto, CA",Msa,CA,331308,333663,335106,336566,340253,342219,344898,347198,351658,355653,359094,364136
"Portland, ME",Msa,ME,322781,325295,328844,332537,334490,335161,335536,338161,342433,348173,354112,360358
"Durham, NC",Msa,NC,276623,277516,278310,279271,280148,281151,282424,284010,285854,288059,290970,293984
"Santa Rosa, CA",Msa,CA,652327,661793,665690,662743,657534,652607,652498,656736,668812,679555,690480,698792
"Lexington, KY",Msa,KY,197494,198093,198942,199845,200996,201896,202899,204026,205784,207929,210738,213285
"Lafayette, LA",Msa,LA,159629,160350,161162,161430,161432,161334,161946,162726,163993,165432,166357,166630
"Lansing, MI",Msa,MI,167053,167674,168448,169271,170245,171054,172100,173268,174730,176517,178328,179878
"Fayetteville, AR",Msa,AR,200895,201803,202246,202695,203463,204976,206607,208974,211177,213641,215883,218785
"Pensacola, FL",Msa,FL,190792,192521,194019,195590,196895,198378,199455,200555,202117,204548,207303,209894
"Visalia, CA",Msa,CA,228332,230889,232465,235054,236909,239433,242234,245410,248444,250899,254150,257249
"Shreveport, LA",Msa,LA,115623,116509,117136,117796,118355,118704,118791,119207,119819,120595,120583,120812
"Springfield, MO",Msa,MO,161959,162558,163482,164339,165275,166108,167036,168684,170594,172787,174986,177450
"York, PA",Msa,PA,196819,197089,197488,198042,198108,198204,198207,200214,202354,205135,207301,209683
"Corpus Christi, TX",Msa,TX,169162,170568,171479,172190,172746,173723,174572,175818,177258,179352,180721,181531
"Flint, MI",Msa,MI,127674,127328,127318,128180,129192,129897,130740,131790,133685,136174,137902,140262
"Reno, NV",Msa,NV,388005,391141,395111,396723,396431,394351,395925,399865,405279,410906,417646,426215
"Asheville, NC",Msa,NC,277991,278921,280434,281458,282832,283960,285625,288075,291204,294420,297248,300647
"Port St. Lucie, FL",Msa,FL,241837,242555,243320,244006,245312,246879,248108,249749,251267,252878,254742,256944
"Santa Maria-Santa Barbara, CA",Msa,CA,652883,655762,657428,663484,667841,668674,666471,670653,678719,689981,697742,706447
"Huntsville, AL",Msa,AL,196038,199223,202191,204949,206129,207498,209005,211927,214614,217290,219506,221841
"Fort Wayne, IN",Msa,IN,153207,154159,155087,156080,157321,158497,159053,159654,160676,162520,164766,167267
"Salinas, CA",Msa,CA,605981,609025,611846,612547,617041,620337,624381,628384,635698,643406,650082,657729
"Vallejo, CA",Msa,CA,453980,454475,458113,460109,463074,463802,462701,462734,467095,474996,481813,487082
"Mobile, AL",Msa,AL,130373,131261,131954,132450,133094,133695,134516,135490,137320,139045,140617,141926
"Reading, PA",Msa,PA,192360,193434,194537,195348,195907,196286,197310,198956,200946,203114,205347,208005
"Brownsville, TX",Msa,TX,109057,110220,111037,111690,112665,113738,114974,116594,118387,120107,121236,122100
"Killeen, TX",Msa,TX,162475,163166,163794,164316,165103,166087,167281,168630,170143,171930,174057,175834
"Canton, OH",Msa,OH,138006,138771,139905,140963,141628,141934,142405,143559,145363,147088,149035,150754
"Beaumont, TX",Msa,TX,130771,130831,130715,131203,132246,133584,134771,135511,136478,137127,138037,138529
"Manchester, NH",Msa,NH,308786,311362,315115,318535,319161,319347,320395,323638,328436,332796,338732,344197
"Salem, OR",Msa,OR,317449,319936,321445,322036,322002,323410,325709,329038,332739,337201,341653,346249
"Anchorage, AK",Msa,AK,328922,324774,321080,316154,315827,314022,313199,311979,310458,311549,312295,317101
"Davenport, IL",Msa,IL,133825,134143,134575,134968,135077,135192,135463,135710,135832,136093,136536,137559
"Peoria, IL",Msa,IL,114890,115173,115419,115511,115302,115059,115192,115989,116714,117331,117897,118651
"Myrtle Beach, SC",Msa,SC,212090,211851,212718,213609,215387,216736,218442,220166,221805,223781,225678,228087
"Montgomery, AL",Msa,AL,138426,138979,139292,139400,139967,140777,141743,142569,143841,145023,146315,147685
"Salisbury, MD",Msa,DE,260832,261815,262798,263642,263935,264841,266302,268510,270994,273942,277054,279931
"Gulfport, MS",Msa,MS,142694,143392,144027,144644,145263,145681,146352,147019,148377,149743,151133,152387
"Tallahassee, FL",Msa,FL,183515,184529,185577,186452,186938,187504,188127,188957,190325,191596,194239,196748
"Trenton, NJ",Msa,NJ,257750,259068,260200,261822,260718,261300,261215,263463,265919,270151,273800,276852
"Fayetteville, NC",Msa,NC,134715,135163,135688,135918,136261,136931,137972,139163,140387,142144,143728,145608
"Hickory, NC",Msa,NC,158267,158993,159461,160230,160498,161234,161755,162812,163699,164686,166028,167678
"Huntington, WV",Msa,WV,105153,105211,105232,105168,105302,105167,105108,105047,105270,105699,106703,107744
"Eugene, OR",Msa,OR,321305,325411,329776,332179,333036,331020,330502,331940,336249,341222,347870,353434
"Rockford, IL",Msa,IL,123868,123898,124362,124778,125670,126495,126594,126331,126890,128018,129585,131579
"Savannah, GA",Msa,GA,205857,205777,205646,205354,205784,206104,206872,207754,208677,209960,211651,213623
"Ann Arbor, MI",Msa,MI,300429,301299,301586,302859,302955,304042,304489,306042,308127,311180,313953,315317
"Ocala, FL",Msa,FL,165707,166058,166375,167400,168814,170208,170615,171338,172213,173773,175628,177192
"Kalamazoo, MI",Msa,MI,178458,179469,180255,181084,181323,181805,182867,184668,187108,189613,192182,194265
"Naples, FL",Msa,FL,346376,345977,346896,348849,350981,351366,352227,353949,357898,361818,366360,369882
"South Bend, IN",Msa,IN,136611,137290,138625,141205,142754,144029,144510,145169,146362,148044,149740,151691
"Spartanburg, SC",Msa,SC,161014,161816,162910,163873,165135,166287,167401,168285,169355,170917,172550,174166
"Evansville, IN",Msa,IN,144264,145028,145347,145968,146496,147350,148060,148908,150222,152108,154314,156559
"Kingsport, TN",Msa,TN,133064,133789,134513,134894,135317,135828,136684,137507,138534,139463,141272,142841
"Roanoke, VA",Msa,VA,184730,185355,186013,186906,187944,188909,189963,191054,192787,194488,196776,198264
"Green Bay, WI",Msa,WI,185574,186971,188209,189611,190380,191528,192481,194673,196487,198511,200844,203426
"Lincoln, NE",Msa,NE,206487,206608,207529,208148,209423,210303,211863,213952,216507,219479,221890,224152
"Fort Collins, CO",Msa,CO,418563,419629,420946,423421,425466,426597,426876,427843,429647,433151,436734,440882
"Utica, NY",Msa,NY,138605,139352,139645,139811,139392,139110,139103,139851,140684,141606,143031,145072
"Columbus, GA",Msa,GA,127682,128196,128795,129338,130030,130624,131294,131585,132230,133140,134500,135808
"Boulder, CO",Msa,CO,581060,582207,583129,583559,584061,583958,584716,587414,591445,597751,603938,609626
"Lubbock, TX",Msa,TX,149541,150263,151419,152519,153476,154057,154794,155857,157435,159436,160854,161913
"Erie, PA",Msa,PA,132802,133199,133451,133848,134110,134744,135545,136553,,140105,142289,143491
"Fort Smith, AR",Msa,AR,113578,113924,114346,114775,115123,115630,115649,115546,115671,116394,117618,118502
"Duluth, MN",Msa,MN,172225,173602,174774,174892,174038,173283,173431,174695,176047,177856,179807,182506
"Atlantic City, NJ",Msa,NJ,203928,205171,206024,207094,208644,210210,212083,214188,218187,223468,228569,233018
"New London, CT",Msa,CT,251242,252132,251869,251394,251169,253784,256666,260004,263104,267091,271953,276416
"San Luis Obispo, CA",Msa,CA,636082,641292,644301,647884,646467,646093,647229,653190,661450,668708,674697,679671
"Gainesville, FL",Msa,FL,202451,204509,205282,206194,206791,207545,207610,208902,210560,213078,215636,218417
"Santa Cruz, CA",Msa,CA,870016,877494,886017,891028,888793,884618,887898,903113,919895,935490,948204,960619
"Clarksville, TN",Msa,TN,176605,177652,179707,181068,182984,184077,185862,187387,189053,191228,193291,195697
"Cedar Rapids, IA",Msa,IA,162644,162870,162825,162440,162644,163199,163901,164190,164537,165370,166218,167444
"Merced, CA",Msa,CA,279955,282708,285449,286753,285367,285413,289468,293855,297461,299551,305029,310452
"Wilmington, NC",Msa,NC,264684,266839,267993,268993,269870,270502,272052,272770,274691,276764,279437,281138
"Kennewick, WA",Msa,WA,312681,314350,315254,314832,314785,314762,315652,316763,318377,320187,322353,324791
"Greeley, CO",Msa,CO,384602,386326,388824,390980,391714,391956,393084,394638,397268,400623,403958,406940
"Waco, TX",Msa,TX,166321,167313,168414,169512,170517,171403,172408,173951,175571,177693,179915,181957
"Olympia, WA",Msa,WA,345526,348699,352920,357166,360129,362415,365925,371093,377865,384442,390205,397320
"Amarillo, TX",Msa,TX,147030,147286,147376,147878,147945,148133,147926,148462,149558,151180,153146,154700
"Binghamton, NY",Msa,NY,121006,121893,122810,122809,123052,123680,124995,126018,127007,128116,129262,130381
