RegionName,RegionType,StateName,1/31/2022,2/28/2022,3/31/2022
"Hilton Head Island, SC",Msa,SC,439773,450143,461411
"Bloomington, IL",Msa,IL,185418,188482,192454
"Hilo, HI",Msa,HI,532664,543616,556865
"Panama City, FL",Msa,FL,311201,318494,326698
"Kingston, NY",Msa,NY,357576,359318,362090
"Daphne, AL",Msa,AL,310432,317326,322977
"Gainesville, GA",Msa,GA,343971,352690,359622
"Warner Robins, GA",Msa,GA,181726,184636,187856
"Blacksburg, VA",Msa,VA,237665,241025,242169
"Jacksonville, NC",Msa,NC,216686,219853,223206
"Redding, CA",Msa,CA,371280,375192,377812
"Monroe, LA",Msa,LA,160449,162679,163517
"Joplin, MO",Msa,MO,164950,168152,171817
"El Centro, CA",Msa,CA,309239,314769,317899
"Terre Haute, IN",Msa,IN,117749,119023,120069
"Muskegon, MI",Msa,MI,201058,204382,207067
"East Stroudsburg, PA",Msa,PA,271834,275769,279683
"Sioux City, IA",Msa,IA,170354,171985,172651
"Greenville, NC",Msa,NC,195494,198165,201073
"Waterloo, IA",Msa,IA,163792,165788,167205
"Oshkosh, WI",Msa,WI,199093,202380,205913
"Yuba City, CA",Msa,CA,421143,426830,430500
"Abilene, TX",Msa,TX,171660,173522,175687
"Columbia, MO",Msa,MO,248900,253005,259416
"Dover, DE",Msa,DE,299084,303182,307113
"Eau Claire, WI",Msa,WI,242809,245920,248678
"Janesville, WI",Msa,WI,196462,196823,196821
"Jackson, MI",Msa,MI,193628,196069,197160
"Punta Gorda, FL",Msa,FL,345304,355121,370134
"Bloomington, IN",Msa,IN,262856,267469,271271
"Pueblo, CO",Msa,CO,289401,294116,298906
"Billings, MT",Msa,MT,335293,339284,344204
"Bowling Green, KY",Msa,KY,202898,206836,207144
"Bend, OR",Msa,OR,666205,671748,681979
"Albany, GA",Msa,GA,133004,136668,138107
"Vineland, NJ",Msa,NJ,205475,205846,207038
"Niles, MI",Msa,MI,237277,241869,246718
"Kahului, HI",Msa,HI,932097,961040,995596
"Ottawa, IL",Msa,IL,141675,143358,144704
"State College, PA",Msa,PA,291309,294303,297754
"Bangor, ME",Msa,ME,225083,229103,230619
"Alexandria, LA",Msa,LA,168791,168435,168371
"Decatur, AL",Msa,AL,177863,180427,182851
"Hanford, CA",Msa,CA,314907,319855,324976
"Iowa City, IA",Msa,IA,257911,259713,261381
"Rocky Mount, NC",Msa,NC,156921,159977,162857
"Monroe, MI",Msa,MI,221516,222662,223911
"Wichita Falls, TX",Msa,TX,141307,143819,145871
"Burlington, NC",Msa,NC,234494,240706,246197
"Madera, CA",Msa,CA,394563,400907,405825
"Jefferson City, MO",Msa,MO,203280,206824,209293
"Chambersburg, PA",Msa,PA,231409,233794,236537
"Texarkana, TX",Msa,TX,137205,140549,141861
"Elizabethtown, KY",Msa,KY,200817,203282,205451
"Pottsville, PA",Msa,PA,120024,122026,123755
"Wheeling, OH",Msa,OH,122228,124477,125094
"Florence, AL",Msa,AL,154665,158515,160568
"Grand Junction, CO",Msa,CO,368867,370543,376744
"Concord, NH",Msa,NH,371659,378317,384567
"Dothan, AL",Msa,AL,148919,151149,153023
"Santa Fe, NM",Msa,NM,492923,501977,512832
"Johnstown, PA",Msa,PA,99804,101211,101262
"Traverse City, MI",Msa,MI,338930,344338,349308
"Hattiesburg, MS",Msa,MS,168714,172791,174178
"Dalton, GA",Msa,GA,184775,185481,190857
"Midland, TX",Msa,TX,280842,283055,284781
"Homosassa Springs, FL",Msa,FL,250294,255230,260353
"Auburn, AL",Msa,AL,,248409,253657
"Valdosta, GA",Msa,GA,164671,167136,169265
"Coeur d'Alene, ID",Msa,ID,583110,586761,588827
"Springfield, OH",Msa,OH,155298,155775,156864
"St. George, UT",Msa,UT,536786,543584,547724
"Vero Beach, FL",Msa,FL,337358,345263,355984
"Odessa, TX",Msa,TX,194089,195307,195673
"Napa, CA",Msa,CA,877718,891813,910270
"Tupelo, MS",Msa,MS,144113,147336,148621
"Battle Creek, MI",Msa,MI,163518,166370,168787
"Jamestown, NY",Msa,NY,137786,139762,141958
"Eureka, CA",Msa,CA,453986,463642,469025
"Rapid City, SD",Msa,SD,310316,317319,323468
"Flagstaff, AZ",Msa,AZ,580270,586919,599269
"Lumberton, NC",Msa,NC,98286,100830,101794
"Wausau, WI",Msa,WI,210863,212803,215464
"La Crosse, WI",Msa,WI,249049,252539,254786
"Lebanon, PA",Msa,PA,243007,245199,247885
"Idaho Falls, ID",Msa,ID,381530,389574,393621
"Sierra Vista, AZ",Msa,AZ,216272,221094,225112
"Pittsfield, MA",Msa,MA,323405,327627,331276
"Lawton, OK",Msa,OK,115842,117387,119052
"Farmington, NM",Msa,NM,188786,192046,195098
"Jackson, TN",Msa,TN,164664,168471,170603
"Morgantown, WV",Msa,WV,197425,198615,199209
"Glens Falls, NY",Msa,NY,239121,244634,248542
"Winchester, VA",Msa,VA,318122,320964,322704
"St. Joseph, MO",Msa,MO,147063,148591,149955
"Altoona, PA",Msa,PA,139839,140984,142491
"New Bern, NC",Msa,NC,204007,208191,211016
"Carbondale, IL",Msa,IL,117599,119034,119794
"London, KY",Msa,KY,124238,126729,127664
"Logan, ID",Msa,UT,430728,441338,452015
"Harrisonburg, VA",Msa,VA,271001,274784,275885
"Beckley, WV",Msa,WV,91321,93018,93732
"Mansfield, OH",Msa,OH,155784,156887,158438
"Weirton, OH",Msa,OH,103744,105867,106463
"Goldsboro, NC",Msa,NC,174858,177766,181389
"Augusta, ME",Msa,ME,252638,254517,260127
"Hammond, LA",Msa,LA,191033,194793,198487
"Jonesboro, AR",Msa,AR,167637,171243,173415
